station,total_docks,lon,lat,nearest_junior_high_distance,nearest_university_distance,nearest_mrt_distance,nearest_bus_distance,district
草里,20,121.60759,25.2807,1911.44,5512.02,19106.13,14.13,石門區
莊園街(金城舞5社區),40,121.44792,24.981311,475.24,1262.73,457.34,16.43,土城區
莊敬公園,50,121.47025,25.02062,354.08,1656.8,273.01,154.57,板橋區
莊敬路25巷口,23,121.47338,25.02734,401.52,2435.37,265.94,205.69,板橋區
莊泰坡雅路口(沐光社區),40,121.43938,25.04633,275.08,1764.25,1507.94,43.72,泰山區
莊泰義東街口(新潤A5社區),40,121.43911,25.05025,497.5,1959.24,1933.8,148.77,泰山區
莊田信華三街口(潤見築社區),40,121.43981,25.04303,465.8,1692.44,1161.37,230.69,泰山區
莒光四村停車場,12,121.44639,24.98716,180.1,1855.26,298.08,128.15,土城區
莒光國小,37,121.47465,25.02565,352.48,2369.1,492.47,198.78,板橋區
莒光德光路口,15,121.47223,25.00429,357.47,1452.19,1134.35,87.11,中和區
莒光華安街口,17,121.46876,24.99467,649.89,1931.31,1668.25,122.22,中和區
莒光路136巷口,15,121.47261,25.00133,26.18,1647.38,1405.14,21.4,中和區
菁桐老街,27,121.72448,25.02398,72.53,6585.89,11221.59,153.87,平溪區
華中公園,15,121.44676,25.0189,698.86,1263.91,1638.97,397.16,板橋區
華南頂埔科技大樓,40,121.41716,24.96046,694.42,2526.43,173.04,190.58,土城區
華城橋（康寧街61巷）,30,121.61988,25.06833,1029.68,7429.77,809.69,200.11,汐止區
華夏科技大學,58,121.50765,24.98067,203.14,54.9,1003.44,160.1,中和區
華夏科技大學(華新街),16,121.50785,24.98247,388.83,252.88,803.93,28.34,中和區
華德公園,58,121.45279,24.99195,608.09,1805.83,701.92,130.76,板橋區
華德公園平面停車場,18,121.45339,24.99292,704.55,1720.59,601.43,34.24,板橋區
華新街109巷11弄,53,121.50873,24.97996,246.76,97.04,1064.48,113.63,中和區
華新街143巷,15,121.50632,24.97942,24.27,172.62,1172.24,6.54,中和區
華江一華江九路口,55,121.46681,25.033,465.97,2708.0,595.57,99.33,板橋區
華江一華江二路口(吾界社區),40,121.47677,25.03596,616.14,3422.83,647.38,81.3,板橋區
華江一華江二路口(江匯Life社區),40,121.47656,25.03588,597.31,3404.25,628.02,81.84,板橋區
華江一華江五路口(雙江翠社區),46,121.47253,25.03485,404.32,3109.76,408.71,21.79,板橋區
華江一華江六路口(仰真社區),38,121.47,25.034,458.2,2919.81,437.73,16.56,板橋區
華江九華江一路口(匯翠社區),40,121.466,25.033,503.15,2685.72,667.3,60.49,板橋區
華江二華江一路口(帝國花園廣場社區),40,121.47523,25.03544,493.24,3294.33,519.06,9.71,板橋區
華江五華江一路口(帝國花園廣場社區),39,121.47336,25.03474,381.54,3136.18,394.12,92.08,板橋區
華江公園,12,121.47099,25.01946,366.24,1618.85,416.2,188.58,板橋區
華江橋自行車牽引道,16,121.48046,25.03562,704.54,3599.78,876.05,19.15,板橋區
華福公園,16,121.46529,24.99728,270.92,1512.42,1264.17,98.37,中和區
華福市民活動中心,36,121.46753,24.99548,564.36,1792.1,1524.89,110.2,中和區
萬板文聖街口,54,121.47973,25.02638,445.48,2788.16,800.3,78.22,板橋區
萬板高架橋下停車場,20,121.48183,25.02729,518.05,3014.06,941.26,105.08,板橋區
萬里區行政中心,13,121.68907,25.17811,107.86,9092.28,13635.23,89.54,萬里區
薇多綠雅社區(活動中心),15,121.35727,24.90955,1191.55,4009.19,8252.84,146.09,三峽區
薇多綠雅社區(警衛亭),19,121.35816,24.90883,1074.04,4036.98,8240.03,26.6,三峽區
藍天大樓,30,121.47017,25.0531,670.09,4937.79,743.29,120.34,三重區
藝文一永翠路口,54,121.45268,25.0224,339.73,1496.45,1338.97,182.25,板橋區
藝文二永翠路口(青峰社區),39,121.45221,25.02142,261.05,1413.12,1307.4,141.71,板橋區
藝文藝文二街口(大悅社區),38,121.45157,25.021765,330.56,1474.8,1382.09,133.25,板橋區
蘆洲三民公園,33,121.46013,25.09431,696.3,6367.99,496.75,100.02,蘆洲區
蘆洲中原公園,45,121.46389,25.08332,403.78,6321.97,894.33,96.6,蘆洲區
蘆洲中山立體停車場,15,121.47325,25.08355,159.25,6985.69,234.0,148.16,蘆洲區
蘆洲中路公園,49,121.46822,25.0818,477.95,6489.58,626.2,79.19,蘆洲區
蘆洲仁愛國小(水湳街),16,121.46947,25.09209,388.19,7238.86,462.93,90.66,蘆洲區
蘆洲兒五公園,19,121.48056,25.08858,323.21,7904.53,778.29,113.72,蘆洲區
蘆洲兒四公園,17,121.47625,25.08871,463.49,7604.29,436.81,143.17,蘆洲區
蘆洲國民運動中心,55,121.46161,25.09195,395.8,6457.69,267.25,106.57,蘆洲區
蘆洲延平派出所,38,121.46162,25.08162,230.23,6030.25,1123.94,56.16,蘆洲區
蘆洲李宅古蹟,30,121.46655,25.08496,222.53,6634.76,626.07,214.82,蘆洲區
蘆洲環河公園,16,121.46046,25.09516,770.44,6423.05,529.54,167.27,蘆洲區
蘆洲重陽大樓,28,121.48189,25.08506,135.17,7743.38,541.96,146.54,蘆洲區
蘆洲鷺江停車場,12,121.47693,25.08619,354.48,7456.34,346.09,132.89,蘆洲區
蘭庭序大廈,30,121.65207,25.07207,746.29,9333.91,3836.81,99.97,汐止區
行政院新莊聯合辦公大樓,51,121.44443,25.05595,110.06,2772.31,1666.88,69.65,新莊區
衛教公園,14,121.4407,25.17254,105.65,535.0,677.79,22.75,淡水區
裕民路55巷,17,121.44948,24.9886,357.64,1836.75,257.03,115.26,土城區
裕民路口(清水路),34,121.45616,24.98157,597.25,891.09,845.45,19.97,土城區
裕生停車場,15,121.44687,24.9846,160.42,1600.8,196.04,211.25,土城區
裕華街,15,121.44643,24.9905,521.98,1905.7,545.24,167.02,土城區
西安市民活動中心,27,121.47188,25.01712,478.63,1531.3,294.2,45.36,板橋區
西林簡易籃球場,16,121.38133,25.07511,225.8,1858.9,6583.36,72.64,林口區
西盛公園,24,121.42805,25.01711,532.73,1424.85,1404.57,22.93,新莊區
西盛廣場,39,121.43149,25.00089,530.5,1817.04,2126.37,44.78,新莊區
西盛館,20,121.43271,25.01191,1244.82,1608.22,2130.18,115.05,新莊區
覺明寺(豐年街53巷),11,121.44721,25.03172,409.72,2362.79,715.56,217.23,新莊區
訊塘廣場(義民中華路口),21,121.39564,25.14256,201.63,5417.59,5745.51,105.22,八里區
訊塘社區公園,13,121.39609,25.1455,216.52,5171.78,5553.69,44.91,八里區
訊庄埔公園,15,121.39222,25.14244,514.93,5688.7,6055.07,57.31,八里區
谷王公園,18,121.47718,25.05283,593.21,5133.25,677.57,132.31,三重區
豐年國小,28,121.44324,25.0307,70.13,1953.89,713.31,26.0,新莊區
豐年陸橋,18,121.44754,25.02967,477.62,2381.7,864.49,336.34,新莊區
貢寮區公所,20,121.90614,25.02088,1241.13,22517.25,29247.35,21.38,貢寮區
貴和市民活動中心,20,121.422,25.035,655.73,562.23,669.01,20.85,泰山區
貴子路36巷3弄口,12,121.42591,25.04137,599.97,303.61,1329.82,78.9,泰山區
貿商國宅,23,121.43068,25.06939,400.08,3360.63,3056.91,22.51,五股區
足夢運動公園,15,121.39643,25.07562,408.39,622.38,5803.52,27.86,林口區
輔仁大學附設醫院,41,121.431,25.03927,441.48,771.97,825.36,33.13,新莊區
輕軌台北小城站(北側),14,121.49833,24.95351,441.59,1301.92,3776.66,145.84,新店區
輕軌台北小城站(南側),15,121.49816,24.95312,404.06,1295.78,3814.56,148.63,新店區
輕軌安康站,21,121.51717,24.96525,1213.36,1911.41,1475.32,16.43,新店區
輕軌崁頂站,16,121.43502,25.20125,846.59,1300.43,3816.3,95.17,淡水區
輕軌崁頂站(西側),22,121.43419,25.20153,815.48,1291.99,3869.97,15.24,淡水區
輕軌新和國小站,23,121.5183,24.98338,419.74,1115.65,955.2,56.79,新店區
輕軌新市一路站,25,121.44837,25.18345,536.71,1160.04,1712.87,34.29,淡水區
輕軌景文科大站,27,121.50964,24.95474,790.72,790.72,2787.36,43.03,新店區
輕軌沙崙站,36,121.41696,25.18741,948.93,1270.93,3575.04,191.2,淡水區
輕軌淡水行政中心站,48,121.44435,25.18916,110.49,1558.24,2326.2,66.87,淡水區
輕軌淡江大學站,40,121.45613,25.17653,609.84,936.87,1410.08,48.74,淡水區
輕軌淡海新市鎮站,25,121.43286,25.19623,371.74,708.66,3359.61,37.81,淡水區
輕軌淡金北新站,45,121.45245,25.1808,89.86,988.74,1559.27,109.95,淡水區
輕軌淡金鄧公站,24,121.45936,25.16874,1009.09,1270.92,1369.95,84.14,淡水區
輕軌漁人碼頭站,45,121.41911,25.18209,513.2,1395.98,3068.66,51.74,淡水區
輕軌濱海沙崙站,35,121.43106,25.19039,624.38,216.62,2857.28,45.81,淡水區
輕軌濱海義山站(西南側),30,121.43734,25.18961,695.69,853.02,2511.45,10.68,淡水區
輕軌玫瑰中國城站,30,121.49418,24.95101,539.68,1589.32,4278.92,112.28,新店區
輕軌竿蓁林站,10,121.45607,25.16206,201.33,1485.48,872.06,35.05,淡水區
輕軌紅樹林站,48,121.458868,25.155053,506.48,2296.08,52.49,76.95,淡水區
輕軌耕莘安康院區站,29,121.50368,24.95453,699.43,965.7,3266.98,32.96,新店區
輕軌陽光運動公園站,20,121.51928,24.97193,616.4,1477.53,1070.18,97.68,新店區
輕軌雙城站,21,121.48985,24.94679,1005.57,1983.02,4902.39,46.55,新店區
連城路469巷21弄,12,121.48432,24.99508,628.66,2888.04,1236.69,96.17,中和區
連興龍安路口,70,121.65443,25.06299,257.28,8706.94,3740.59,77.96,汐止區
進安公園,33,121.49377,25.08603,1146.58,8751.76,1245.07,77.75,三重區
遠東世紀廣場C棟,26,121.48645,24.99853,217.99,2964.37,797.09,141.5,中和區
遠東動力企業總部,26,121.42999,25.03113,644.02,644.02,548.72,47.2,新莊區
遠東動力企業總部(福營路),30,121.43045,25.03033,668.33,668.33,534.07,126.24,新莊區
